Image name,Contains figure,Asks for proof,Dependencies,LatexOutput,Reference,GUID,Type,Seq,PT,OriginalName
Visually OS X Mountain Lion_44_problem.png,FALSE,FALSE,,,,e014cb4d-07a6-4938-9e74-51ae7ac656db,P,44,0,Visually OS X Mountain Lion_44_problem.png
Visually OS X Mountain Lion_44_solution.png,TRUE,FALSE,,,,e65214c8-becf-40fc-96b0-b0372b4d567e,S,44,0,Visually OS X Mountain Lion_44_solution.png
Visually OS X Mountain Lion_45_problem.png,FALSE,FALSE,,,,0ab21a70-efbc-4991-b200-d58856502bee,P,45,0,Visually OS X Mountain Lion_45_problem.png
Visually OS X Mountain Lion_45_solution.png,TRUE,FALSE,,,,97326d79-b82a-4315-bfc7-31066891b335,S,45,0,Visually OS X Mountain Lion_45_solution.png
Visually OS X Mountain Lion_46_problem.png,FALSE,FALSE,,,,e90fb32e-412b-4aa5-ad42-6cbe05bddbc0,P,46,0,Visually OS X Mountain Lion_46_problem.png
Visually OS X Mountain Lion_46_solution.png,TRUE,FALSE,,,,d76899d7-6b0e-4064-abc7-79560cea2686,S,46,0,Visually OS X Mountain Lion_46_solution.png
Visually OS X Mountain Lion_47_problem.png,FALSE,FALSE,,,,325a1452-fab3-47e9-8a9a-b24be6f120e2,P,47,0,Visually OS X Mountain Lion_47_problem.png
Visually OS X Mountain Lion_47_solution.png,TRUE,FALSE,,,,1c2cb156-8617-4be9-87ac-37b539af4a17,S,47,0,Visually OS X Mountain Lion_47_solution.png
Visually OS X Mountain Lion_48_problem.png,FALSE,FALSE,,,,1e5902d4-a002-4b13-aa30-154840595d47,P,48,0,Visually OS X Mountain Lion_48_problem.png
Visually OS X Mountain Lion_48_solution.png,FALSE,FALSE,,,,bee34bd8-70a3-49fe-9a4b-9dc62568a725,S,48,0,Visually OS X Mountain Lion_48_solution.png
Visually OS X Mountain Lion_49_problem.png,FALSE,FALSE,,,,c7ca9279-b2fd-4082-a614-a72f0bf2cf3e,P,49,0,Visually OS X Mountain Lion_49_problem.png
Visually OS X Mountain Lion_49_solution.png,TRUE,FALSE,,,,11ad33b1-1cbe-4f1e-ab41-3d8a82320415,S,49,0,Visually OS X Mountain Lion_49_solution.png
Visually OS X Mountain Lion_50_problem.png,FALSE,FALSE,,,,f540bba6-39fc-4a32-8e0e-17cabf19d301,P,50,0,Visually OS X Mountain Lion_50_problem.png
Visually OS X Mountain Lion_50_solution.png,TRUE,FALSE,,,,b867f9de-e227-4483-aa44-38a59620c71a,S,50,0,Visually OS X Mountain Lion_50_solution.png
Visually OS X Mountain Lion_51_problem.png,FALSE,FALSE,,,,a87c0bd8-3ad3-41ce-8204-e81afffdfbbe,P,51,0,Visually OS X Mountain Lion_51_problem.png
Visually OS X Mountain Lion_51_solution.png,FALSE,FALSE,,,,c0836b12-48ab-4986-ab91-7a3596268a85,S,51,0,Visually OS X Mountain Lion_51_solution.png
Visually OS X Mountain Lion_52_problem.png,FALSE,FALSE,,,,818a7965-e310-4ec7-8518-5320008529e0,P,52,0,Visually OS X Mountain Lion_52_problem.png
Visually OS X Mountain Lion_52_solution.png,FALSE,FALSE,,,,8bd2f23b-ab77-4e95-b7fa-8d67710aabfd,S,52,0,Visually OS X Mountain Lion_52_solution.png
Visually OS X Mountain Lion_53_problem.png,FALSE,FALSE,,,,7d78bde3-f331-4d12-a6e0-b4663c54d3ca,P,53,0,Visually OS X Mountain Lion_53_problem.png
Visually OS X Mountain Lion_53_solution.png,FALSE,FALSE,,,,30a2f577-c9ab-4c8a-88bb-81ed40187695,S,53,0,Visually OS X Mountain Lion_53_solution.png
Visually OS X Mountain Lion_54_problem.png,FALSE,FALSE,,,,3d1eb918-ef41-4754-8dd4-c0dc24edbb11,P,54,0,Visually OS X Mountain Lion_54_problem.png
Visually OS X Mountain Lion_54_solution.png,FALSE,FALSE,,,,0fa58a09-a5ff-40a5-aa13-fe5fd2fc2daf,S,54,0,Visually OS X Mountain Lion_54_solution.png
Visually OS X Mountain Lion_55_problem.png,FALSE,FALSE,,,,9bd4d6a8-eefa-4536-a605-a4ccf30ea383,P,55,0,Visually OS X Mountain Lion_55_problem.png
Visually OS X Mountain Lion_55_solution.png,FALSE,FALSE,,,,32ff640c-0986-4446-b80b-f5bda5622fb2,S,55,0,Visually OS X Mountain Lion_55_solution.png
Visually OS X Mountain Lion_56_problem.png,FALSE,FALSE,,,,7f99e12a-16dc-4f59-9e8d-2e27777fce84,P,56,0,Visually OS X Mountain Lion_56_problem.png
Visually OS X Mountain Lion_56_solution.png,FALSE,FALSE,,,,72e84143-d39c-42ff-9dc3-4fb05a3fa486,S,56,0,Visually OS X Mountain Lion_56_solution.png
Visually OS X Mountain Lion_57_problem.png,FALSE,FALSE,,,,10b24339-f1a2-4fe0-9bfb-18b0ae858e8b,P,57,0,Visually OS X Mountain Lion_57_problem.png
Visually OS X Mountain Lion_57_solution.png,FALSE,FALSE,,,,8f837285-2f27-4402-b3d3-2e0f87533b92,S,57,0,Visually OS X Mountain Lion_57_solution.png
Visually OS X Mountain Lion_58_problem.png,FALSE,FALSE,,,,5b695703-5fb4-4b6b-bc57-d3988e917078,P,58,0,Visually OS X Mountain Lion_58_problem.png
Visually OS X Mountain Lion_58_solution.png,FALSE,FALSE,,,,9894fd34-b190-4dc3-990b-b086d54249e1,S,58,0,Visually OS X Mountain Lion_58_solution.png
Visually OS X Mountain Lion_59_problem.png,FALSE,FALSE,,,,f29a076b-6077-47b5-a1df-461f6ce45669,P,59,0,Visually OS X Mountain Lion_59_problem.png
Visually OS X Mountain Lion_59_solution.png,FALSE,FALSE,,,,1ac8b37b-601d-4dae-9776-b16415fd7415,S,59,0,Visually OS X Mountain Lion_59_solution.png
Visually OS X Mountain Lion_60_problem.png,FALSE,FALSE,,,,29a5b71a-7d61-4042-be59-298543e32716,P,60,0,Visually OS X Mountain Lion_60_problem.png
Visually OS X Mountain Lion_60_solution.png,FALSE,FALSE,,,,49f7dd6e-4eda-48c0-92d7-ba51f82aa9f3,S,60,0,Visually OS X Mountain Lion_60_solution.png
Visually OS X Mountain Lion_61_problem.png,FALSE,FALSE,,,,1078d78a-e9af-4fb7-86b8-96e1e473128e,P,61,0,Visually OS X Mountain Lion_61_problem.png
Visually OS X Mountain Lion_61_solution.png,FALSE,FALSE,,,,f4743d8e-cd36-451d-892b-d91f0c2edb71,S,61,0,Visually OS X Mountain Lion_61_solution.png
Visually OS X Mountain Lion_62_problem.png,FALSE,FALSE,,,,a59026e6-08d2-46e9-a869-a22d812ad6b6,P,62,0,Visually OS X Mountain Lion_62_problem.png
Visually OS X Mountain Lion_62_solution.png,FALSE,FALSE,,,,eebb84e6-63f6-49c2-90fc-311c1a77f864,S,62,0,Visually OS X Mountain Lion_62_solution.png
Visually OS X Mountain Lion_63_problem.png,FALSE,FALSE,,,,092e7007-f0a5-4ec0-aa7e-8b006e25746b,P,63,0,Visually OS X Mountain Lion_63_problem.png
Visually OS X Mountain Lion_63_solution.png,FALSE,FALSE,,,,f9640929-0089-4267-8612-f1dbe940d18d,S,63,0,Visually OS X Mountain Lion_63_solution.png
Visually OS X Mountain Lion_64_problem.png,FALSE,FALSE,,,,6b61d65d-8c10-4742-8b42-7cd474cf2ded,P,64,0,Visually OS X Mountain Lion_64_problem.png
Visually OS X Mountain Lion_64_solution.png,FALSE,FALSE,,,,5a2435e2-3bb7-4459-9d43-768e9d45dd40,S,64,0,Visually OS X Mountain Lion_64_solution.png
Visually OS X Mountain Lion_65_problem.png,FALSE,FALSE,,,,7163b162-9eeb-4458-9fad-e32b986e09f0,P,65,0,Visually OS X Mountain Lion_65_problem.png
Visually OS X Mountain Lion_65_solution.png,FALSE,FALSE,,,,95ee34b3-3db2-49e6-b09a-7ab0acc5ba46,S,65,0,Visually OS X Mountain Lion_65_solution.png
Visually OS X Mountain Lion_66_problem.png,FALSE,FALSE,,,,db8da7bf-b7f4-44cb-847c-a8caeb39030c,P,66,0,Visually OS X Mountain Lion_66_problem.png
Visually OS X Mountain Lion_66_solution.png,FALSE,FALSE,,,,a8aef323-99ed-4ef3-ab75-177022ea70f7,S,66,0,Visually OS X Mountain Lion_66_solution.png
Visually OS X Mountain Lion_67_problem.png,FALSE,FALSE,,,,57e17fc8-5963-408a-af9e-0616d943c109,P,67,0,Visually OS X Mountain Lion_67_problem.png
Visually OS X Mountain Lion_67_solution.png,FALSE,FALSE,,,,881eaea9-7993-4301-a5d3-fdb40b8cf8d1,S,67,0,Visually OS X Mountain Lion_67_solution.png
Visually OS X Mountain Lion_68_problem.png,FALSE,FALSE,,,,0bc6683c-1ebf-43d7-a3c5-82a4c32c20c7,P,68,0,Visually OS X Mountain Lion_68_problem.png
Visually OS X Mountain Lion_68_solution.png,FALSE,FALSE,,,,5075ef4b-b34f-4b24-acac-7ebc75ebefd5,S,68,0,Visually OS X Mountain Lion_68_solution.png
Visually OS X Mountain Lion_69_problem.png,FALSE,FALSE,,,,58d662aa-0fcd-4d77-9cf6-b13ba55cf2b6,P,69,0,Visually OS X Mountain Lion_69_problem.png
Visually OS X Mountain Lion_69_solution.png,FALSE,FALSE,,,,4ed4c3e0-c246-4cdb-aad6-7815c6902cdb,S,69,0,Visually OS X Mountain Lion_69_solution.png
Visually OS X Mountain Lion_70_problem.png,FALSE,FALSE,,,,09fe9631-4841-4f5c-ba12-e3aa6e8d29a6,P,70,0,Visually OS X Mountain Lion_70_problem.png
Visually OS X Mountain Lion_70_solution.png,TRUE,FALSE,,,,67fce188-3a16-4292-ae25-b3b22748ac98,S,70,0,Visually OS X Mountain Lion_70_solution.png
Visually OS X Mountain Lion_71_problem.png,FALSE,FALSE,,,,1060c246-d600-4e77-8344-b43dbb243cc4,P,71,0,Visually OS X Mountain Lion_71_problem.png
Visually OS X Mountain Lion_71_solution.png,TRUE,FALSE,,,,54e1836a-48ce-427e-b88b-629a87c15221,S,71,0,Visually OS X Mountain Lion_71_solution.png
Visually OS X Mountain Lion_72_problem.png,FALSE,FALSE,,,,33c3ad79-b6fd-4dde-98ad-9f3052a79c1f,P,72,0,Visually OS X Mountain Lion_72_problem.png
Visually OS X Mountain Lion_72_solution.png,FALSE,FALSE,,,,0b40e734-ee73-4aca-b576-77b126d8dbb6,S,72,0,Visually OS X Mountain Lion_72_solution.png
Visually OS X Mountain Lion_73_problem.png,FALSE,FALSE,,,,89451149-dbd8-4161-bea1-64c8a30768dd,P,73,0,Visually OS X Mountain Lion_73_problem.png
Visually OS X Mountain Lion_73_solution.png,TRUE,FALSE,,,,23b4e6f3-e781-41d6-bb72-7265621e76be,S,73,0,Visually OS X Mountain Lion_73_solution.png
Visually OS X Mountain Lion_74_problem.png,FALSE,FALSE,,,,a29682f1-0376-40f8-87ee-b5c74e2be35e,P,74,0,Visually OS X Mountain Lion_74_problem.png
Visually OS X Mountain Lion_74_solution.png,FALSE,FALSE,,,,2fb78eea-405d-4b4b-9837-b33e8267678f,S,74,0,Visually OS X Mountain Lion_74_solution.png
Visually OS X Mountain Lion_75_problem.png,FALSE,FALSE,,,,09ec6051-b4f4-459f-a850-eda2ade53fe7,P,75,0,Visually OS X Mountain Lion_75_problem.png
Visually OS X Mountain Lion_75_solution.png,FALSE,FALSE,,,,a59632a2-270b-49ec-987d-59a4cffb2d45,S,75,0,Visually OS X Mountain Lion_75_solution.png
Visually OS X Mountain Lion_76_problem.png,FALSE,FALSE,,,,4eb4fba4-9458-4d37-83dd-f69d74213338,P,76,0,Visually OS X Mountain Lion_76_problem.png
Visually OS X Mountain Lion_76_solution.png,TRUE,FALSE,,,,d204586e-d59a-4aca-a7b4-a79e639aa1b7,S,76,0,Visually OS X Mountain Lion_76_solution.png
Visually OS X Mountain Lion_77_problem.png,FALSE,FALSE,,,,7a7904d1-8c72-4d25-a783-ecc0ba3a68f4,P,77,0,Visually OS X Mountain Lion_77_problem.png
Visually OS X Mountain Lion_77_solution.png,FALSE,FALSE,,,,0ee615ae-0e37-4c97-90cf-8936ea6d3438,S,77,0,Visually OS X Mountain Lion_77_solution.png
Visually OS X Mountain Lion_78_problem.png,FALSE,FALSE,,,,fe1a83b5-9b93-4367-9357-11162d23f28f,P,78,0,Visually OS X Mountain Lion_78_problem.png
